"Fireplace_Binary","Price","SquareFootage","NumBathrooms","NumBedrooms","PropertyTaxRate","RenovationQuality","LocalAmenities","HouseColor","Floors","IsLuxury"
1,255614.8992,566.62,1,4,1.84,"4.93",4.44,"Blue",1,0
0,155586.0947,1472.34,1,2,0.95,"4.08",5.56,"Green",1,0
0,113167.6128,550,1.064643868,3,1.26,"3.36",5.46,"White",1,0
0,224973.4118,1474.99,1.857532493,2,1.49,"6.15",0.98,"White",2,0
1,166751.417,550,1.200385725,3,0.82,"2.67",4.12,"Blue",1,0
0,117175.1588,550,2.893456568,2,1.52,"4.89",6.68,"Yellow",1,0
0,225509.6491,550,2.248925239,3,1.21,"4.61",5.5,"Red",1,0
0,194451.5922,691.89,1.016691422,2,1.37,"4.74",4.29,"Green",1,0
0,110465.3245,550,1,5,0.35,"5.13",6.22,"Red",1,0
0,137586.1798,616.33,1,3,1.16,"4.84",6.17,"Green",1,0
0,94945.29121,550,1,3,1.29,"0.78",10,"Red",1,0
1,227867.0347,1029.81,2.156653345,2,1.55,"5.09",5.67,"Green",1,0
0,205562.6791,747.49,1.418893522,3,1.78,"5.32",5.26,"Green",1,0
0,202084.3426,732.5,1.626907461,3,1.49,"4.61",2.7,"White",2,0
0,196765.808,996.16,2.213232111,2,2.04,"2.83",1.74,"Yellow",1,1
0,250155.1266,583.25,3.852464259,1,1.89,"4.47",6.5,"Blue",1,0
0,160019.0332,721.17,1.439066744,4,1.32,"3.73",7.55,"Green",2,0
1,105444.823,755.33,1.410790541,3,2.14,"2.23",2.17,"White",1,0
0,159738.251,550,2.344320127,3,1.6,"3.21",5.69,"Green",1,0
1,95866.28932,550,1.969044145,3,1.52,"3.21",4.24,"Red",1,0
0,276257.7839,1179.53,2.652646511,3,1.84,"3.17",9.07,"Green",1,1
1,238708.4293,748.96,1,3,1.95,"6.02",9.7,"Red",2,0
0,180015.2789,1454.19,3.084477983,1,1.9,"5.34",5.28,"Green",1,0
0,152376.5716,701.73,1.603980999,3,1.86,"4.03",7.87,"White",1,0
1,221064.633,732.21,2.389982559,2,1.26,"3.02",3,"Red",1,1
0,196234.218,1423.83,2.126659257,1,1.37,"3.42",4.43,"Red",1,0
0,237298.1737,899.53,2.985726622,3,0.62,"5.61",9.12,"Blue",2,1
0,204414.5727,862.32,3.684301142,1,0.98,"2.85",2.7,"Red",2,0
0,100868.9766,550,1.887114507,2,1.07,"5.38",9.74,"Blue",1,0
0,133676.534,862.01,1.758235302,2,1.23,"5.96",6.21,"Green",1,0
0,152926.0367,550,1,4,1.69,"2.16",6.13,"Yellow",1,0
1,195416.5331,940.02,2.292306875,2,1.34,"2.44",6.77,"White",1,0
0,114541.7742,550,2.061927122,3,2.47,"1.52",5.18,"Red",1,0
0,133765.0137,550,1.107970784,5,2.05,"7.13",0.42,"Blue",1,0
0,248189.6232,989.32,1.189819741,4,1.55,"3.33",0.99,"Red",2,0
0,167546.7668,826.35,1,2,0.42,"4.99",0.12,"Red",2,0
0,260609.8094,1161.75,1.464104387,4,1.09,"4.65",2.29,"Blue",2,0
0,239822.1002,972.44,1.151764321,3,1.51,"4.36",3.3,"Blue",1,0
0,177443.8225,636.83,2.224104889,3,1.94,"6.28",4.35,"Yellow",1,0
1,213944.3293,1281,1.026502113,2,1.49,"3.05",6.22,"Red",1,0
1,106203.7719,736.55,1.461133734,2,1.74,"5.55",10,"Green",1,0
0,251114.3834,1487.28,1,3,1.49,"6.06",8.25,"Yellow",2,1
0,208975.1804,550,1,3,1.82,"3.23",6.63,"Yellow",1,0
1,210429.3823,1113.68,1.655995692,3,1.01,"7.8",3.89,"Green",2,0
0,160474.9654,550,2.512785685,3,1.25,"4.34",2.45,"Red",1,0
0,138420.4848,852.25,1,2,1.66,"5.26",7.6,"White",1,0
1,115916.9002,794.53,2.09065174,1,1.08,"4.86",5.09,"Green",1,1
0,240397.6212,1420.65,3.002882093,2,1.57,"5.41",7.22,"Red",1,0
1,136734.5207,806.38,1.192640201,3,1.33,"3.31",5.88,"Green",1,0
0,191467.3252,550,1.814669984,4,2.57,"3.19",2.75,"Blue",1,1
0,194915.0189,1030.3,1.548419507,3,1.96,"1.02",5.83,"White",1,0
0,232398.5723,550,2.217590745,4,1.57,"1.47",7.12,"White",1,0
0,192170.6232,550,1,1,1.5,"2.2",8.13,"Yellow",1,0
1,256531.8918,1065.11,3.574403809,4,1.58,"6.38",8.57,"Yellow",1,0
1,223958.261,550,2.27419848,3,1.4,"3.49",3.11,"Red",1,0
0,136881.3897,550,1.686046962,3,1.73,"4.98",5.01,"Blue",1,0
0,207362.1647,1017.03,3.680326224,2,2.71,"4.46",8.72,"Yellow",1,1
0,218063.4859,550,1.699870206,2,1.93,"1.17",1.62,"Blue",1,0
0,155738.7254,550,1.766305313,4,1.17,"3.95",4.2,"Yellow",1,0
0,123287.2506,648.96,1,4,1.51,"2.09",3.67,"Red",1,0
1,251669.3432,550,2.128441855,3,1.59,"1.55",0.03,"White",1,0
1,165266.5131,561.26,1,2,2.09,"1.78",3.11,"Red",1,0
0,270178.5985,579.98,1,3,2.03,"2.34",4.53,"Red",1,0
1,257273.9223,924.7,1,4,1.6,"3.47",5.94,"White",1,0
0,142639.1425,908.42,1,3,1.58,"3.63",5.6,"Red",1,0
0,191370.9394,997.36,1,3,1.47,"6.04",4.43,"Green",1,0
0,218544.2298,795.13,1.303982161,3,1.87,"5.19",5.27,"Blue",2,0
0,163847.6551,550,1.191058646,3,1.94,"3.81",3.41,"White",1,0
1,96863.68367,691.66,1.972219017,2,1.05,"2.68",5.44,"Red",1,0
1,108490.1181,550,2.150576681,1,0.75,"2.36",5.45,"Blue",2,0
0,135637.489,550,1.052838097,3,0.94,"6.05",8.36,"Blue",1,0
0,269349.8726,1305.82,2.575147827,3,1.93,"4.08",7.12,"Blue",1,0
0,212646.0281,1241.82,1,3,2.34,"7.54",7.92,"Blue",1,1
0,224462.6259,550,1.058823299,3,2.03,"4.13",2.1,"White",1,0
0,137084.6115,576.05,1,2,2.08,"4.03",9.94,"Blue",1,0
0,269316.6177,620.25,2.754721278,3,1.8,"3.53",8.66,"Red",1,0
0,168159.7604,802.52,1,4,1.31,"3.41",8.62,"Blue",1,0
1,225726.3565,550,3.921931003,2,0.98,"6.68",4.6,"Red",2,0
0,245992.4681,550,1.117693286,1,1.7,"1.4",3.76,"Red",1,0
0,218624.3683,550,3.038980425,3,2.06,"4.86",10,"White",2,0
1,231368.8227,1765.19,1,1,2.04,"5.84",9.81,"White",1,0
0,111227.1716,607.24,1.722275429,3,1.56,"5.25",2.37,"Yellow",1,0
1,178681.0914,706.65,1.225752027,2,1.83,"2.3",8.12,"Green",1,0
0,277678.3584,1360.01,1.788751584,2,1.85,"3.75",3.83,"Blue",1,1
1,243314.3963,924.31,1,3,1.27,"2.23",2.28,"White",1,0
1,103024.6398,664.28,1.565668607,2,1.24,"4.22",2.45,"White",1,0
0,214448.7043,909.24,1.269679965,2,1.87,"5.59",3.91,"Green",1,0
0,266670.5158,804.09,2.954551785,4,1.87,"6.04",6.73,"Red",1,0
0,239145.3146,759.92,1,4,2.22,"5.45",7.11,"White",1,0
0,248945.8748,835.7,2.350892168,3,1.97,"0.97",1.17,"Blue",2,1
1,245033.0932,693.51,1,3,1.56,"2.32",0.72,"Red",1,0
1,161330.406,550,1,3,2.24,"2.18",10,"White",2,0
0,239850.3375,589.27,2.242666173,4,1.95,"7.04",7.79,"Green",1,0
0,172888.1978,550,1,3,1.55,"5.61",6.2,"White",1,0
0,139107.5279,1159.37,1.269122208,2,1.25,"6.77",6.48,"Yellow",1,0
1,256817.128,1493.56,3.05005447,3,1.86,"3.94",5.84,"Yellow",1,0
0,233971.9901,550,1,4,1.49,"5.05",10,"Green",1,0
1,189464.8595,806.32,2.393869424,3,1.82,"4.08",4.56,"Red",2,1
0,190662.9313,747.84,2.384521121,2,1.42,"2.29",5.64,"Yellow",1,0
0,237289.5945,1343.88,3.166101289,3,1.61,"7.63",3.54,"White",1,0
0,246222.2364,911.59,1.495811696,2,1.17,"3.4",8.86,"White",2,0
0,148202.4455,550,1,2,1.71,"2.33",10,"Yellow",1,0
1,128433.5857,786.48,3.488486693,1,1.26,"0.18",5.69,"Yellow",1,0
1,196840.4434,1069.43,2.526355733,2,1.68,"2.91",6.86,"Blue",1,0
0,129802.1433,550,1.475411497,1,2.18,"6.42",6.22,"Blue",1,0
1,258971.5503,652.06,1.369922378,2,0.99,"6.45",4.54,"Yellow",1,0
0,214698.3418,1005.09,2.620519967,4,1.78,"4.64",6.5,"White",1,0
0,113076.6212,550,1,2,2.15,"3.17",2.13,"Red",1,0
0,190929.7288,1401.07,1.149113796,3,1.15,"5.91",0.82,"Blue",1,1
0,269500.4758,550,3.318284837,4,1.15,"8.28",6.1,"Yellow",1,0
0,175046.6052,550,3.258431022,3,1.35,"5.57",8.66,"Yellow",1,0
1,177051.9426,657.23,2.184482264,2,1.76,"1.24",2.52,"Red",1,0
1,107153.8993,550,3.892309746,1,1.88,"5.12",5.66,"White",2,0
1,157110.9364,636.04,1.032646517,3,1.99,"5.25",10,"Red",1,0
0,271626.442,1381.83,1.982966373,3,1.69,"7.72",6.65,"Red",1,0
0,198059.0707,941.24,3.155240375,3,1.73,"3.51",2.65,"White",1,1
1,117951.9489,667.26,2.218261739,1,1.69,"3.39",4.67,"Yellow",1,0
0,114505.5941,833.92,1,2,1.62,"4.1",8.5,"Red",1,0
1,223352.04,641.56,2.468336933,3,1.31,"3.18",5.82,"Blue",1,0
0,225923.8101,1013.37,3.631592588,3,1.51,"6.17",6.18,"Red",1,0
0,260262.293,550,1,2,2.48,"3.79",7.99,"Yellow",1,0
0,246126.2233,767.17,1.881860216,3,1.76,"6.1",7.38,"White",1,1
0,150986.1489,550,1,2,1.79,"0.57",0.66,"Green",1,0
0,142270.8916,566.9,2.554960145,3,1.77,"3.62",3.46,"Blue",1,0
1,105223.5852,550,2.107222655,2,1.43,"1.73",4.41,"Red",1,1
1,179111.0641,1006.58,1,2,1.26,"5.47",5.28,"Red",1,0
0,250219.6031,958.82,1.047291764,3,1.88,"4.73",4.79,"Yellow",1,1
1,175921.5956,1372.17,1.344599233,1,1.49,"3.59",7.09,"Yellow",2,1
0,276745.1316,550,4.998606692,4,0.53,"7.09",4.58,"White",2,0
0,122318.6077,550,1,3,1.24,"0.62",7.68,"Green",1,0
0,263783.8958,991.12,2.694417042,4,1.16,"5.13",4.59,"White",1,0
1,141848.9918,629.97,1,3,1.12,"2.48",2.37,"White",1,0
1,102952.0441,1688.74,2.099405174,2,2.23,"0.63",0.05,"Green",1,1
0,277318.8698,1821.56,1.867427472,3,1.49,"7.4",9.78,"White",1,0
0,112529.2773,550,1.27159703,2,1.92,"3.95",1.82,"Yellow",1,1
0,113473.0186,574.11,1.761876553,3,2.05,"4.9",5.47,"Green",1,0
0,105508.9037,732.31,1.605698581,1,1.07,"3.85",5.69,"Yellow",1,0
0,155829.2866,621.08,2.825453734,2,2.23,"4.74",7.02,"Blue",2,0
1,101049.8755,1160.18,1.059622618,2,1.68,"3.61",2.02,"Green",1,0
0,183644.5634,991.61,1.616237939,3,2.02,"3.39",7.22,"Red",1,0
0,144701.5746,638.03,1,3,1.91,"3.28",4.85,"White",1,0
0,133195.6287,550,1.503746425,3,2.45,"4.72",6.35,"Red",1,0
0,221955.555,550,1.837848466,3,1.95,"3.91",4.46,"Blue",1,0
0,208841.2735,847.12,1.779418392,2,2.33,"6.37",3.16,"White",1,1
0,172426.9023,617.7,1.357642139,2,0.97,"4.86",1.67,"Green",1,0
0,124786.2402,988.32,1.308992909,3,1.39,"3.18",5.41,"Red",1,0
0,111564.0417,550.7,1.554924069,4,1.92,"1.29",6.69,"Yellow",1,0
1,186836.4341,550,2.353794177,3,0.75,"2.71",3.69,"Green",1,0
1,245087.8371,1010.8,1.647701768,2,1.9,"5.6",2.8,"White",1,0
0,231338.412,890.36,2.442325249,4,1.27,"5.42",4.64,"Yellow",1,0
0,170764.9409,1013.29,1,2,0.66,"2.64",3.42,"Red",1,0
1,115547.1564,550,1.977646983,2,0.88,"4.78",4.77,"Red",1,0
0,273277.7833,609.19,1.954840203,3,0.77,"6.92",4.91,"Blue",2,0
0,156312.4717,550,1.630736148,3,1.59,"0.86",6.94,"Red",1,0
1,214915.6692,1571.91,1,2,1.36,"4.54",0.68,"Red",2,0
0,247148.1142,1073.95,3.209491202,3,1.07,"6.17",7.08,"White",1,0
0,116963.4581,550,2.162152172,2,1.13,"4.02",10,"Green",1,0
0,272557.0395,768.35,2.609231756,3,0.66,"3.1",3.01,"Yellow",1,0
1,220143.6872,1335.59,1.605689015,2,1.27,"4.66",6.39,"Yellow",2,1
0,225922.8165,550,1.748900641,4,1.42,"4.12",4.94,"Yellow",1,1
0,110450.8527,550,1.748030335,3,1.66,"0.75",0.02,"Green",2,0
1,112542.6906,583.35,1,2,1.56,"5.79",7.91,"Red",1,0
0,150183.814,550,3.951180911,2,1.15,"5.77",3.86,"Green",1,0
0,273784.2413,788.46,1.667615282,4,2.35,"3.81",7.14,"Red",2,0
0,202583.5174,1030.28,1,4,1.37,"4.38",10,"Green",1,1
0,254840.1404,1022.56,1.719061818,3,1.18,"6.62",6.08,"Green",1,0
1,160304.1753,748.56,1,4,1.14,"4.81",10,"White",2,0
0,183397.9195,550,1,3,1.65,"4.67",5.96,"White",1,0
0,182105.3596,1025.57,2.540399748,1,0.53,"6.51",8.65,"White",1,0
0,204115.2013,879.8,1.315377058,2,1.19,"4.69",2.59,"White",1,0
1,227381.0904,599.5,1.943180052,4,1.52,"3.7",7.35,"Green",1,1
0,109774.3255,1021.4,1,2,2.04,"2.88",0.76,"Green",1,0
0,266620.3033,834.4,1.739441341,3,1.79,"4.01",4.88,"White",1,0
0,136396.0182,992.02,1,3,2.72,"6.05",6.31,"White",2,0
0,176632.1144,550,2.023577216,3,1.73,"2.73",9.49,"Green",1,0
0,128945.4664,550,1.650099339,2,1,"3.09",0.39,"White",1,0
1,131922.3499,550,1.773790529,3,1.55,"3.18",4.86,"White",1,0
1,113517.1348,702.7,1,2,2.17,"4.12",3.45,"Red",1,0
0,246206.4743,550,2.805610068,3,1.18,"8.44",0.79,"Blue",1,0
0,223043.4874,576.58,1.044603612,3,0.86,"4.62",8.48,"Yellow",1,1
0,120021.2617,550,1.422506502,4,1.73,"4",7.62,"Green",1,0
0,246305.3703,550,2.481263984,4,1.32,"4.55",3.6,"Green",1,0
0,273769.0828,1473.2,4.342154715,3,2.1,"8.31",3.79,"White",1,0
1,268779.6379,819.25,1.302362825,4,2.7,"5.75",5.15,"Red",1,0
0,142999.6151,550,1,3,1.68,"4.58",5.91,"White",1,0
0,214925.2506,955.53,2.08740135,4,1.61,"4.91",7.27,"Red",1,1
0,158687.2579,550,3.037275589,2,1.08,"4.48",2.21,"Blue",1,0
0,237711.8506,749.78,1.214083382,3,1.38,"3.33",1.78,"White",1,1
1,131037.3002,550,1,3,1.14,"3.84",5.14,"Yellow",1,0
0,178832.3372,834.54,1.867174187,3,1.17,"4.49",2.99,"Red",1,0
0,202571.4329,1286.47,2.110509734,2,1.03,"5.31",0.21,"Yellow",1,0
1,212120.0921,550,2.820423083,4,2.13,"6.84",1.97,"Green",1,0
0,151679.9536,888.38,1.890474811,1,2.6,"0.42",0.1,"Green",1,0
0,147636.2983,824.72,2.084032692,2,1.39,"4.26",7.36,"Blue",1,0
0,212176.5091,747.71,2.584191937,3,1.26,"5.88",10,"Green",1,1
0,98488.29438,550,2.527090512,2,1.3,"4.84",5.13,"Yellow",1,0
0,168532.7932,768.03,1.711265999,3,1.9,"3.18",0.62,"Yellow",1,1
0,99924.2893,884.98,2.001241365,2,1.63,"2.12",3.68,"Yellow",1,0
1,161248.7798,556.89,1.033350435,2,1.68,"2.88",9.45,"Red",1,0
0,184261.1924,755.85,1.933425922,2,2.98,"3.34",4.87,"Blue",1,0
0,130765.982,985.17,1.010491793,2,1.39,"3.2",5.65,"White",1,0
1,185241.968,1378.95,1.624957285,3,0.96,"7.54",6.92,"White",1,0
0,272175.1689,550,1,3,1.72,"6.5",7.17,"Green",1,0
0,234171.1958,550,2.623655516,3,0.7,"5.95",5.73,"Red",1,0
0,105902.3322,550,1,3,1.78,"3.6",6.87,"White",1,0
1,234564.8609,934.7,2.47374336,3,2.19,"4.21",0.65,"Green",1,0
1,218988.0487,550,2.781420233,2,1.36,"3.78",6.72,"Yellow",1,0
0,178287.6262,1275.64,1.165589586,3,1.63,"8.86",9.86,"Yellow",1,0
1,123699.6303,550,1,2,2.09,"2.77",3.51,"Blue",1,0
0,180417.0395,550,2.618337523,2,1.86,"5.14",9.01,"White",1,0
0,215794.7062,550,2.650587996,4,1.67,"3.98",3.32,"Red",1,1
0,114903.9616,550,1.699246646,2,1.38,"3.2",6.96,"Blue",1,0
1,222754.4147,901.84,1,3,1.43,"6.07",4.09,"White",1,0
0,267017.7293,1037.16,2.351761951,3,1.61,"2.47",2.55,"White",1,1
1,138736.0991,1182.5,1,2,1.52,"1.18",1.11,"Yellow",1,0
1,165472.5762,962.42,1,3,1.79,"6.92",0.93,"Blue",1,0
0,182751.0539,1245.26,1.842217854,1,2.29,"4.96",2.35,"Blue",1,1
0,146353.5765,560.16,1,4,1.61,"3.75",6.47,"White",2,0
0,242666.8636,942.63,1.341872761,3,1.53,"4.3",7.27,"Green",1,1
0,258264.0576,1324.79,2.969589023,2,1.32,"6.21",10,"White",1,0
0,259348.0402,557.42,2.316480357,2,1.58,"4.79",10,"Blue",1,0
0,126372.039,882.35,2.508779318,2,1.84,"3.46",2.39,"Green",1,1
0,187448.5882,875.26,1.63919778,2,1.26,"3.46",4.43,"Red",1,0
0,127203.659,1019.29,2.759608856,1,1.26,"5.16",10,"White",2,0
0,277613.6908,1839.78,2.188693987,2,0.61,"3.88",3.01,"Yellow",1,0
0,164784.6152,550,1,3,1.76,"3.72",4.32,"Blue",1,0
0,114524.9105,550,1,2,1.69,"1.5",4.64,"Red",1,1
1,167488.2899,550,2.899609492,2,1.49,"5.49",4.45,"White",1,0
0,261593.4921,550,2.432889702,3,2.05,"7",8,"Green",1,0
0,191999.5385,1004.32,2.949058372,2,0.8,"3.24",2.41,"White",1,0
1,146723.0108,843.57,1.312093736,2,1.19,"6.05",9.84,"Blue",2,0
0,145540.6955,859.02,1.479502689,3,0.8,"4.2",10,"Yellow",1,0
0,212750.9135,1492.61,1.835527414,3,1.43,"4.32",3.5,"Green",1,0
0,254403.7403,864.82,1.028008367,3,1.74,"3.64",1.05,"Yellow",1,1
0,129485.9721,752.01,1,4,2.39,"4.89",2.9,"Red",1,0
0,185176.1107,866.59,1,4,0.86,"2.87",0.35,"Yellow",1,0
0,223632.8578,1323.79,2.049663797,2,1.43,"7.95",6.74,"White",1,0
1,171977.7174,1012.69,1,3,1.99,"2.9",5.95,"Red",1,0
0,228904.7746,826.42,2.507471586,3,1.23,"2.02",7.64,"Blue",1,0
1,150205.808,930.22,1,2,0.43,"3.14",6.81,"White",1,0
0,261380.4163,1376.46,1.786360356,1,1.08,"3.76",3.58,"Yellow",2,0
0,251984.0737,1655.49,2.058318642,3,1.55,"3.8",2.95,"Green",1,0
